brand,model,color,year,power_ps,transmission_type,fuel_type,fuel_consumption_l_100km,fuel_consumption_g_km,mileage_in_km,price_in_euro
mazda,CX-5,black,2018,194.0,Automatic,Petrol,7.1,161.0,98400.0,23990.0
bmw,X3,grey,2021,286.0,Automatic,Diesel,5.6,147.0,21900.0,49850.0
kia,Rio,white,2018,101.0,Manual,Petrol,5.0,115.0,37950.0,15990.0
ford,Kuga,red,2016,120.0,Manual,Petrol,6.2,143.0,36000.0,19680.0
ford,Focus,grey,2017,101.0,Manual,Petrol,4.6,105.0,102761.0,11999.0
citroen,C5 Aircross,blue,2020,177.0,Automatic,Diesel,4.9,126.0,30000.0,27850.0
hyundai,i10,white,2015,67.0,Manual,Petrol,4.7,98.0,57321.0,8290.0
audi,Q3,silver,2017,150.0,Manual,Diesel,4.9,129.0,109712.0,22390.0
ford,Fiesta,blue,2015,60.0,Manual,Petrol,5.2,123.0,16900.0,7950.0
bmw,X1,white,2023,136.0,Automatic,Petrol,6.4,145.0,19.0,42699.0
ford,B-Max,grey,2017,125.0,Manual,Petrol,4.9,114.0,38620.0,15480.0
jeep,Renegade,grey,2023,131.0,Automatic,Petrol,6.2,141.0,20.0,33400.0
aston-martin,Aston Martin DB11,silver,2019,510.0,Automatic,Petrol,9.9,230.0,14034.0,184007.0
ford,Kuga,white,2016,150.0,Manual,Diesel,5.8,135.0,52523.0,15280.0
land-rover,Land Rover Discovery,black,2017,258.0,Automatic,Diesel,7.2,189.0,103500.0,40780.0
kia,Optima,black,2020,154.0,Automatic,Hybrid,5.8,120.0,28500.0,31990.0
ford,Focus,grey,2021,125.0,Automatic,Petrol,7.0,157.0,35093.0,22850.0
fiat,500,grey,2016,69.0,Manual,Petrol,4.9,115.0,65000.0,11500.0
hyundai,i20,grey,2020,120.0,Automatic,Petrol,5.8,139.0,12580.0,19870.0
land-rover,Land Rover Range Rover Velar,black,2022,300.0,Automatic,Hybrid,5.8,120.0,21900.0,74790.0
jaguar,XF,black,2019,179.0,Automatic,Diesel,5.8,139.0,52400.0,29990.0
ford,Fiesta,black,2018,200.0,Manual,Petrol,6.0,158.0,59169.0,75000.0
land-rover,Land Rover Defender,brown,2023,300.0,Automatic,Diesel,7.6,200.0,35.0,99500.0
audi,Q3,silver,2022,150.0,Automatic,Petrol,6.5,148.0,13700.0,38150.0
