iter	RMSE
0	0.8030763181
1	0.7612306976
2	0.7227981087
3	0.6868672003
4	0.6543813421
5	0.6242257778
6	0.5970575376
7	0.5723214295
8	0.5504152333
9	0.5305820125
10	0.5120682487
11	0.4956348964
12	0.4804805451
13	0.466558614
14	0.4538973782
15	0.442563084
16	0.4322157696
17	0.4228436401
18	0.4146761168
19	0.4068812571
20	0.4004004258
21	0.3943088733
22	0.3884491972
23	0.3832025195
24	0.3785094157
25	0.3740360076
26	0.3703852836
27	0.3667547113
28	0.3630152434
29	0.3600538796
30	0.3568078232
31	0.3540603138
32	0.3516752811
33	0.349168464
34	0.3471053171
35	0.3451752217
36	0.3434496783
37	0.3417751681
38	0.3401134767
39	0.3384296036
40	0.3369715848
41	0.335393556
42	0.3341439166
43	0.3327061107
44	0.3314532064
45	0.3303984689
46	0.3295836949
47	0.32850432
48	0.3275669843
49	0.326545318
50	0.3256277797
51	0.3248999134
52	0.3240632267
53	0.3231841545
54	0.3225790835
55	0.3216758311
56	0.3209814435
57	0.3202457601
58	0.3195044797
59	0.318885566
60	0.3182178355
61	0.3177012239
62	0.317126732
63	0.3166000941
64	0.3161102946
65	0.315456354
66	0.3150281447
67	0.3146878099
68	0.3143119541
69	0.3139469174
70	0.3135824481
71	0.3130989238
72	0.3125586506
73	0.3120142047
74	0.3115759023
75	0.3111634107
76	0.3107482851
77	0.3105128302
78	0.3099753889
79	0.3096391437
80	0.309419673
81	0.3091183146
82	0.3088769852
83	0.3084010628
84	0.3081513039
85	0.3077520269
86	0.3074340883
87	0.30715563
88	0.3068995355
89	0.3066116534
90	0.3062671917
91	0.3059294519
92	0.3057047321
93	0.3054544239
94	0.3051626025
95	0.3049328889
96	0.3045876783
97	0.3044001903
98	0.3040052373
99	0.3036701459
100	0.3034495884
101	0.3032414345
102	0.3029862969
103	0.3026756812
104	0.302472949
105	0.3022179447
106	0.3020161244
107	0.3018841405
108	0.301625976
109	0.3014318022
110	0.3011874785
111	0.3009856692
112	0.3007535353
113	0.3005695589
114	0.3004041749
115	0.3000643843
116	0.2997924375
117	0.2995949814
118	0.2993937998
119	0.2992262294
120	0.2990237649
121	0.2988465239
122	0.2986713464
123	0.2984110576
124	0.2982650114
125	0.2980309082
126	0.2978595901
127	0.2976229756
128	0.2973955775
129	0.2972115706
130	0.2969994416
131	0.296732443
132	0.2965561132
133	0.2963959784
134	0.2961990336
135	0.2959785417
136	0.2958522719
137	0.2957242018
138	0.2955477422
139	0.2954020095
140	0.2952056871
141	0.2949855164
142	0.2948354432
143	0.2947267575
144	0.2944895874
145	0.2943395316
146	0.2941419168
147	0.2939354189
148	0.2937653128
149	0.2935992059
150	0.293405412
151	0.2931920849
152	0.2929583163
