iter	Passed	Remaining
0	10	10102
1	19	9641
2	30	10298
3	42	10695
4	55	11024
5	66	11084
6	79	11225
7	91	11318
8	103	11341
9	114	11288
10	125	11319
11	137	11349
12	151	11477
13	162	11418
14	174	11436
15	184	11355
16	195	11316
17	207	11298
18	218	11276
19	228	11191
20	240	11206
21	253	11249
22	263	11211
23	275	11214
24	287	11226
25	298	11189
26	310	11186
27	322	11209
28	336	11263
29	349	11309
30	362	11329
31	375	11357
32	390	11453
33	404	11492
34	418	11546
35	432	11580
36	446	11609
37	457	11588
38	470	11593
39	484	11618
40	497	11638
41	509	11622
42	524	11666
43	538	11689
44	551	11704
45	564	11698
46	575	11661
47	586	11640
48	599	11637
49	612	11632
50	624	11626
51	637	11613
52	652	11659
53	665	11662
54	680	11684
55	694	11710
56	707	11698
57	719	11686
58	732	11682
59	744	11659
60	754	11621
61	766	11602
62	779	11591
63	791	11577
64	803	11551
65	816	11560
66	828	11542
67	840	11521
68	851	11487
69	862	11465
70	874	11439
71	885	11407
72	897	11400
73	911	11400
74	923	11391
75	934	11356
76	946	11349
77	959	11340
78	971	11324
79	982	11297
80	994	11284
81	1006	11269
82	1016	11227
83	1028	11217
84	1041	11210
85	1053	11199
86	1064	11169
87	1076	11158
88	1090	11163
89	1103	11153
90	1112	11114
91	1124	11100
92	1137	11095
93	1147	11058
94	1158	11032
95	1169	11016
96	1182	11005
97	1191	10970
98	1203	10949
99	1214	10927
100	1224	10900
101	1236	10884
102	1247	10861
103	1257	10838
104	1269	10816
105	1280	10801
106	1290	10769
107	1301	10747
108	1313	10738
109	1324	10714
110	1335	10697
111	1347	10681
112	1357	10656
113	1369	10643
114	1381	10631
115	1393	10621
116	1404	10596
117	1415	10580
118	1428	10575
119	1438	10550
120	1450	10534
121	1461	10518
122	1471	10491
123	1483	10478
124	1494	10462
125	1505	10440
126	1517	10428
127	1528	10414
128	1539	10397
129	1550	10376
130	1561	10360
131	1574	10354
132	1585	10337
133	1599	10334
134	1612	10329
135	1632	10372
136	1645	10364
137	1657	10356
138	1671	10352
139	1682	10333
140	1695	10327
141	1708	10322
142	1720	10310
143	1731	10295
144	1744	10289
145	1756	10274
146	1768	10262
147	1780	10247
148	1791	10233
149	1804	10223
150	1815	10206
151	1829	10204
152	1842	10202
153	1859	10216
154	1875	10222
155	1890	10226
156	1905	10230
157	1920	10233
158	1934	10234
159	1949	10232
160	1960	10217
161	1974	10212
162	1985	10196
163	1996	10175
164	2006	10153
165	2017	10137
166	2029	10123
167	2039	10100
168	2050	10083
169	2062	10068
170	2071	10044
171	2083	10031
172	2095	10016
173	2105	9996
174	2117	9982
175	2129	9971
176	2139	9948
177	2151	9934
178	2165	9932
179	2179	9930
180	2189	9909
181	2202	9900
182	2215	9889
183	2227	9878
184	2238	9859
185	2257	9880
186	2271	9876
187	2285	9871
188	2299	9866
189	2313	9864
190	2328	9861
