brand,model,color,year,power_ps,transmission_type,fuel_type,fuel_consumption_l_100km,fuel_consumption_g_km,mileage_in_km,price_in_euro
ford,Kuga,black,2023,190.0,Automatic,Hybrid,5.4,124.0,100.0,38490.0
hyundai,i10,black,2018,67.0,Manual,Petrol,4.6,106.0,27782.0,11555.0
audi,Q4 e-tron,grey,2021,170.0,Automatic,Electric,5.8,0.0,4247.0,48886.0
honda,CR-V,red,2018,155.0,Automatic,Petrol,7.5,175.0,57000.0,24490.0
kia,Sportage,black,2023,150.0,Manual,Petrol,5.9,150.0,7500.0,34990.0
honda,Civic,black,2009,140.0,Manual,Petrol,6.7,155.0,160000.0,5800.0
hyundai,STARIA,white,2023,177.0,Automatic,Diesel,8.9,232.0,499.0,56390.0
hyundai,KONA,red,2019,120.0,Manual,Petrol,5.4,125.0,64300.0,18690.0
ford,Fiesta,white,2012,82.0,Manual,Petrol,5.6,129.0,105000.0,5300.0
dacia,Sandero,grey,2022,91.0,Manual,Petrol,5.0,113.0,50.0,17900.0
bmw,520,black,2009,163.0,Automatic,Diesel,5.6,139.0,262000.0,6800.0
bmw,X5,blue,2022,394.0,Automatic,Hybrid,5.8,99.0,21674.0,87800.0
citroen,Spacetourer,black,2018,177.0,Automatic,Diesel,5.9,139.0,112000.0,31900.0
audi,A5,blue,2019,150.0,Automatic,Diesel,4.6,119.0,133000.0,26450.0
audi,A3,white,2021,150.0,Automatic,Hybrid,5.8,120.0,62819.0,28888.0
alfa-romeo,Alfa Romeo 147,red,2005,105.0,Manual,Petrol,8.2,196.0,171000.0,2999.0
audi,A4,silver,1999,193.0,Manual,Petrol,9.4,226.0,449000.0,3000.0
ford,Focus,black,2015,120.0,Manual,Diesel,3.8,139.0,155000.0,10000.0
ford,EcoSport,grey,2019,101.0,Manual,Petrol,5.3,120.0,59710.0,14950.0
ford,Transit,white,2016,125.0,Manual,Diesel,7.5,199.0,118000.0,17500.0
audi,A6,silver,2004,163.0,Automatic,Diesel,6.9,139.0,340000.0,2999.0
hyundai,IONIQ,white,2018,120.0,Automatic,Electric,5.8,0.0,59000.0,19979.0
audi,Q5,silver,2020,163.0,Automatic,Diesel,7.2,189.0,97200.0,30980.0
bmw,X5,blue,2021,333.0,Automatic,Petrol,8.4,192.0,19788.0,68990.0
audi,A4,brown,2018,190.0,Automatic,Diesel,4.7,123.0,175049.0,16980.0
kia,Sportage,black,2016,177.0,Automatic,Petrol,7.5,175.0,65270.0,19975.0
land-rover,Land Rover Range Rover Sport,black,2018,258.0,Automatic,Diesel,6.9,183.0,175000.0,45850.0
kia,XCeed,green,2023,160.0,Automatic,Petrol,6.1,139.0,500.0,32950.0
bmw,X1,grey,2011,143.0,Automatic,Diesel,5.9,155.0,87645.0,13000.0
hyundai,TUCSON,white,2016,116.0,Manual,Diesel,4.6,122.0,128000.0,16900.0
jaguar,F-Pace,grey,2019,300.0,Automatic,Diesel,6.3,166.0,57950.0,43950.0
audi,A6,brown,2019,204.0,Automatic,Diesel,4.9,129.0,82850.0,31970.0
bmw,730,black,2017,265.0,Automatic,Diesel,4.8,127.0,146000.0,44900.0
audi,A3,black,2018,116.0,Manual,Petrol,4.8,117.0,115000.0,14880.0
bmw,118,black,2010,143.0,Manual,Diesel,4.5,119.0,194999.0,22650.0
ford,EcoSport,red,2019,125.0,Automatic,Petrol,6.2,165.0,39987.0,18990.0
audi,A5,blue,2016,230.0,Automatic,Petrol,6.6,153.0,74688.0,26500.0
land-rover,Land Rover Range Rover Evoque,grey,2023,200.0,Automatic,Petrol,9.3,211.0,1500.0,63900.0
audi,A1,silver,2018,90.0,Manual,Diesel,4.1,107.0,98250.0,13991.0
audi,Q5,blue,2021,265.0,Automatic,Petrol,8.3,192.0,27350.0,56940.0
kia,Optima,black,2018,141.0,Manual,Diesel,4.4,113.0,47300.0,21990.0
bmw,550,blue,2020,530.0,Automatic,Petrol,9.9,224.0,67136.0,59850.0
bmw,114,white,2013,95.0,Manual,Diesel,4.3,114.0,179400.0,8400.0
bmw,118,black,2005,116.0,Manual,Petrol,6.6,176.0,240000.0,4500.0
hyundai,i10,blue,2017,87.0,Automatic,Petrol,4.9,114.0,36000.0,12791.0
dodge,RAM,black,2020,401.0,Automatic,Petrol,5.8,139.0,30200.0,44590.0
ford,S-Max,black,2023,190.0,Automatic,Hybrid,6.4,145.0,10.0,41950.0
audi,A8,grey,2010,351.0,Automatic,Diesel,7.6,201.0,219374.0,17990.0
jaguar,F-Pace,white,2019,300.0,Automatic,Diesel,6.3,166.0,38600.0,42880.0
bmw,M2,blue,2017,370.0,Automatic,Petrol,7.9,185.0,79000.0,41450.0
audi,Q3,black,2016,150.0,Manual,Petrol,5.8,134.0,66032.0,23980.0
bmw,218,white,2016,150.0,Manual,Diesel,4.6,139.0,100250.0,21900.0
ford,Focus,white,2019,150.0,Automatic,Diesel,4.4,116.0,69000.0,17884.0
fiat,124 Spider,black,2018,140.0,Manual,Petrol,6.4,148.0,56000.0,20990.0
bmw,225,silver,2019,136.0,Automatic,Hybrid,2.0,120.0,23000.0,34195.0
lamborghini,Huracan,red,2018,640.0,Automatic,Petrol,12.3,139.0,13819.0,334900.0
ford,Kuga,white,2021,150.0,Manual,Petrol,5.5,125.0,68570.0,47333.0
mazda,CX-7,silver,2011,173.0,Manual,Diesel,7.5,199.0,185000.0,13490.0
alfa-romeo,Alfa Romeo Stelvio,blue,2017,209.0,Automatic,Diesel,4.8,127.0,85500.0,26540.0
jaguar,F-Pace,black,2017,241.0,Automatic,Diesel,5.8,153.0,108600.0,31880.0
ford,C-Max,brown,2014,125.0,Manual,Petrol,5.2,123.0,81090.0,8990.0
bmw,550,grey,2014,381.0,Automatic,Diesel,6.2,139.0,179200.0,30990.0
hyundai,KONA,black,2021,136.0,Automatic,Electric,5.8,0.0,9779.0,25490.0
bmw,430,grey,2017,252.0,Automatic,Petrol,6.7,156.0,58400.0,32980.0
hyundai,i40,silver,2015,135.0,Manual,Petrol,6.4,149.0,63914.0,12500.0
ford,Kuga,black,2011,140.0,Automatic,Diesel,6.0,159.0,167347.0,8990.0
citroen,C5 Aircross,grey,2020,179.0,Automatic,Diesel,4.7,123.0,33000.0,27790.0
bmw,525,grey,2010,204.0,Automatic,Diesel,6.1,160.0,178450.0,13500.0
isuzu,D-Max,grey,2023,163.0,Automatic,Diesel,7.4,195.0,2000.0,44999.0
alfa-romeo,Alfa Romeo Giulietta,blue,2017,241.0,Automatic,Petrol,6.8,157.0,41992.0,21499.0
bmw,520,blue,2013,184.0,Automatic,Diesel,4.7,139.0,199000.0,15500.0
ford,C-Max,black,2016,125.0,Manual,Petrol,5.1,117.0,115817.0,10730.0
audi,A4,blue,2018,190.0,Automatic,Petrol,6.1,139.0,63850.0,27890.0
audi,A3,silver,2019,150.0,Manual,Petrol,5.5,124.0,30589.0,22940.0
bmw,X3,black,2015,184.0,Manual,Petrol,7.4,175.0,44500.0,18700.0
dacia,Duster,blue,2022,150.0,Manual,Petrol,6.1,139.0,20290.0,22770.0
ford,EcoSport,white,2017,125.0,Manual,Petrol,5.4,125.0,46800.0,12999.0
mazda,CX-5,grey,2018,165.0,Manual,Petrol,6.0,139.0,50789.0,24790.0
bmw,i3,blue,2016,170.0,Automatic,Electric,5.8,0.0,72300.0,21300.0
bmw,X6,white,2015,381.0,Automatic,Diesel,7.8,206.0,180787.0,39999.0
ford,F 150,blue,2016,390.0,Automatic,Petrol,5.8,139.0,107125.0,44990.0
audi,A4,black,2009,211.0,Manual,Petrol,6.6,156.0,107068.0,12990.0
ford,Kuga,grey,2019,150.0,Manual,Diesel,7.5,195.0,56500.0,19890.0
jeep,Compass,grey,2019,140.0,Manual,Petrol,6.8,155.0,50500.0,22288.0
mazda,CX-3,white,2018,120.0,Automatic,Petrol,5.8,136.0,87800.0,17590.0
fiat,500C,grey,2017,69.0,Manual,Petrol,4.9,115.0,47500.0,12799.0
jeep,Compass,red,2022,179.0,Automatic,Hybrid,0.0,139.0,20456.0,37980.0
ford,Edge,blue,2017,179.0,Manual,Diesel,5.8,154.0,189537.0,15999.0
bmw,X3,silver,2012,258.0,Automatic,Diesel,6.0,159.0,284858.0,12290.0
dacia,Logan,blue,2019,95.0,Manual,Diesel,3.9,103.0,78300.0,13950.0
fiat,Tipo,black,2023,129.0,Manual,Diesel,4.8,127.0,10.0,22899.0
audi,SQ5,black,2018,354.0,Automatic,Petrol,8.3,139.0,18500.0,178000.0
audi,RS Q8,green,2021,600.0,Automatic,Petrol,12.1,139.0,53617.0,139980.0
kia,XCeed,grey,2022,160.0,Automatic,Petrol,6.1,139.0,50.0,31490.0
kia,Niro,grey,2022,204.0,Automatic,Electric,5.8,0.0,100.0,46950.0
hyundai,TUCSON,white,2019,136.0,Automatic,Diesel,4.9,129.0,87300.0,23500.0
fiat,500,green,2020,69.0,Manual,Petrol,4.1,139.0,22646.0,12999.0
bmw,535,white,2011,299.0,Automatic,Diesel,6.7,175.0,204895.0,16666.0
ford,Fiesta,grey,2020,101.0,Automatic,Petrol,5.5,122.0,19106.0,17890.0
ferrari,F8 Tributo,red,2021,721.0,Automatic,Petrol,5.8,139.0,2300.0,299900.0
kia,Sorento,black,2015,200.0,Manual,Diesel,6.1,161.0,101000.0,19990.0
hyundai,KONA,white,2021,136.0,Automatic,Electric,5.8,0.0,24083.0,27190.0
ford,Kuga,grey,2017,150.0,Manual,Petrol,6.3,145.0,39000.0,22900.0
ford,Focus,grey,2010,90.0,Manual,Diesel,4.5,139.0,240000.0,4000.0
citroen,Berlingo,grey,2018,120.0,Manual,Diesel,5.8,139.0,30111.0,24500.0
bmw,X1,silver,2019,192.0,Automatic,Petrol,6.0,136.0,14554.0,28296.0
audi,A4 allroad,black,2017,272.0,Automatic,Diesel,5.5,146.0,110286.0,29480.0
lamborghini,Aventador,black,2020,770.0,Automatic,Petrol,17.9,139.0,3348.0,749999.0
kia,Sportage,white,2018,177.0,Manual,Petrol,5.8,139.0,96525.0,19479.0
hyundai,TUCSON,silver,2019,177.0,Automatic,Petrol,7.6,180.0,68210.0,24970.0
land-rover,Land Rover Range Rover,white,2019,525.0,Automatic,Petrol,12.7,139.0,97500.0,94850.0
kia,Stonic,grey,2018,99.0,Manual,Petrol,5.5,125.0,45100.0,14450.0
fiat,500,grey,2020,69.0,Automatic,Petrol,5.2,120.0,13376.0,15950.0
ford,Transit Custom,white,2021,185.0,Automatic,Diesel,5.8,139.0,30070.0,61700.0
ford,Mondeo,silver,2017,150.0,Manual,Diesel,4.4,112.0,291000.0,7600.0
ford,Kuga,grey,2017,120.0,Automatic,Diesel,4.8,124.0,148200.0,14499.0
bmw,118,brown,2010,143.0,Manual,Diesel,4.5,119.0,278040.0,5900.0
bmw,M4,white,2021,510.0,Automatic,Petrol,10.2,234.0,73736.0,75990.0
jeep,Renegade,black,2019,151.0,Automatic,Petrol,6.2,140.0,47500.0,24890.0
hyundai,i30,grey,2022,120.0,Manual,Petrol,5.9,121.0,1200.0,21788.0
bmw,120,orange,2018,190.0,Automatic,Diesel,4.5,120.0,38428.0,18849.0
kia,Ceed / cee'd,silver,2021,101.0,Manual,Petrol,5.2,118.0,3500.0,23400.0
ford,F 150,grey,2015,364.0,Automatic,Petrol,5.8,139.0,99000.0,39999.0
isuzu,D-Max,white,2017,159.0,Manual,Diesel,5.8,139.0,58500.0,24890.0
bmw,Z4,white,2019,197.0,Automatic,Petrol,6.0,136.0,40700.0,38680.0
hyundai,i20,silver,2015,75.0,Manual,Petrol,4.8,114.0,39420.0,9490.0
bmw,520,black,2013,184.0,Automatic,Diesel,4.9,139.0,172000.0,15799.0
audi,A6,grey,2018,326.0,Automatic,Diesel,5.8,154.0,39200.0,42890.0
bmw,X3 M,black,2019,326.0,Automatic,Diesel,6.4,169.0,65000.0,42490.0
dacia,Duster,blue,2018,114.0,Manual,Petrol,6.4,145.0,25442.0,13688.0
hyundai,KONA,red,2023,120.0,Manual,Petrol,5.3,122.0,2999.0,21690.0
bmw,X4,grey,2021,286.0,Automatic,Diesel,5.6,146.0,92400.0,44480.0
bmw,530,silver,2019,252.0,Automatic,Hybrid,1.8,120.0,14264.0,41999.0
kia,Ceed / cee'd,silver,2012,90.0,Manual,Petrol,5.8,137.0,60000.0,8950.0
bmw,X3,black,2007,286.0,Automatic,Diesel,7.8,207.0,237990.0,8990.0
ford,Fiesta,red,2018,86.0,Manual,Diesel,3.5,91.0,34500.0,13390.0
mazda,6,white,2011,163.0,Manual,Diesel,5.4,143.0,210000.0,12999.0
